id,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions
1,post,post about analyze supply chain efficiency,low,60,D,0.73,1,1,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
2,code,develop risk assessment framework script needed asap,low,52,F,0.66,2,2,2,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
3,presentation,Need a deck on develop project timeline for design conference. 10 slides max.,medium,77,C,0.54,4,3,4,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
4,video,Plan a video showing create training video content. This is for our marketing department.,medium,68,D,0.33,4,2,3,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
5,document,"Role: Policy writer for agriculture organizations.
Task: Draft a policy document regarding analyze supply chain efficiency.
Context: Must align with industry regulations and best practices.
Constraints: Formal tone, legally compliant language.
Output Format: Policy statement + scope + procedures + compliance requirements.",high,85,B,0.15,5,4,5,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
6,report,"Role: Compliance auditor for hospitality operations.
Task: Prepare an audit report on implement payment processing.
Instructions: Document findings with evidence, rate risk levels.
Constraints: Objective tone, cite specific standards/regulations.
Output Format: Executive summary + detailed findings + risk matrix + action items.",high,95,A,0.21,5,4,5,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
7,presentation,powerpoint create policy compliance guide,low,59,F,0.65,1,2,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
8,report,findings on analyze website traffic patterns,low,43,F,0.69,2,1,1,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
9,post,post about write executive briefing,low,49,F,0.88,1,2,2,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
10,presentation,powerpoint create competitor analysis,low,52,F,0.82,2,1,1,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
11,document,Draft document explaining automate data entry processes to design audience.,medium,78,C,0.36,3,2,4,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
12,report,report create investor pitch materials,low,46,F,0.85,1,2,2,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
13,creative,Create story featuring design mobile app interface for marketing audience. 500 words.,medium,66,D,0.44,2,2,4,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
14,data_analysis,Analyze data on build data pipeline for operations insights. Charts and summary.,medium,67,D,0.46,3,2,2,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
15,post,"Role: Content creator for sales communities.
Task: Write a Twitter thread about create crisis management protocol.
Instructions: Hook in first tweet, educational content, strong conclusion.
Constraints: 8-10 tweets, each under 280 characters.
Output Format: Full thread with engagement prompts for each tweet.",high,91,A,0.17,5,5,5,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
16,presentation,deck for optimize database queries,low,42,F,0.68,1,2,1,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
17,document,optimize database queries paper needed,low,34,F,0.81,1,1,2,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
18,report,Analyze create budget proposal and write report for hospitality leadership. Include findings.,medium,79,C,0.3,3,2,4,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
19,document,Write documentation for create budget proposal in strategy setting. Clear and thorough.,medium,69,D,0.4,4,4,2,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
20,other,"Role: Project manager for legal initiatives.
Task: Create a project plan for automate data entry processes.
Instructions: Define scope, milestones, resources, risks.
Constraints: 6-month timeline, budget constraints, 5-person team.
Output Format: Project charter + WBS + timeline + risk register.",high,95,A,0.08,5,5,5,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
21,document,create training video content paper needed,low,61,D,0.88,2,2,1,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
22,data_analysis,"Role: Research analyst in marketing field.
Task: Perform comparative analysis of build automated testing suite.
Context: Comparing 3 different approaches/methods over 12-month period.
Constraints: Control for variables, note limitations, statistical rigor.
Output Format: Methodology + comparison table + statistical tests + conclusions.",high,98,A,0.13,4,5,4,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
23,presentation,slides on create policy compliance guide,low,27,F,0.81,1,1,1,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
24,code,"Role: You are an experienced agriculture software engineer.
Task: Write a Python function to create FAQ document.
Instructions: Use clean code principles, include type hints, and add comprehensive docstrings.
Constraints: Function must handle edge cases and return appropriate error messages.
Output Format: Provide the code block followed by 2-3 usage examples.",high,96,A,0.24,5,4,4,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
25,code,I need a function that can create crisis management protocol. It should be in Python and work for finance data.,medium,75,C,0.49,4,4,3,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
26,document,"Role: Technical writer specializing in technology documentation.
Task: Create a user manual section for create training video content.
Instructions: Use clear step-by-step instructions with screenshots placeholders.
Constraints: Reading level appropriate for general audience, max 10 pages.
Output Format: Structured document with headings, procedures, and troubleshooting.",high,89,B,0.2,5,4,5,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
27,post,"Role: Content creator for operations communities.
Task: Write a Twitter thread about build API integration.
Instructions: Hook in first tweet, educational content, strong conclusion.
Constraints: 8-10 tweets, each under 280 characters.
Output Format: Full thread with engagement prompts for each tweet.",high,94,A,0.16,4,5,5,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
28,other,Develop framework for analyze supply chain efficiency in sales environment.,medium,71,C,0.44,3,2,3,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
29,image,Generate images about design mobile app interface. Use appropriate colors for manufacturing industry.,medium,78,C,0.5,2,4,3,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
30,data_analysis,Review create vendor evaluation criteria metrics for sports performance. Find trends.,medium,77,C,0.32,3,4,4,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
31,video,Script needed for create policy compliance guide video. Educational content for government beginners.,medium,77,C,0.46,2,2,2,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
32,video,Script needed for analyze market trends video. Educational content for strategy beginners.,medium,81,B,0.44,4,4,3,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
33,data_analysis,stats on generate monthly sales reports,low,30,F,0.65,1,2,2,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
34,post,"Role: Community manager for consulting forums.
Task: Draft an announcement post about create investor pitch materials.
Instructions: Clear, enthusiastic, encourage community participation.
Constraints: Include relevant links, moderate length.
Output Format: Post content + formatting suggestions + reply templates.",high,89,B,0.18,4,5,4,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
