id,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions
100001,video,"Role: Professional video editor for nonprofit content.

Task: Edit a 3-minute promotional video for a nonprofit product launch.

Instructions:
1. Create dynamic opening sequence (5 seconds)
2. Include product demonstration footage
3. Add customer testimonials
4. Design compelling call-to-action ending

Constraints:
- 4K resolution output
- Color grade for premium feel
- Licensed music only

Output Format: Premiere Pro project with exported MP4.

Company: Synergy Works
Ref: 9235-NON",high,88,B,0.13,5,5,4,5,Technical requirements clear | Missing glossary
100002,document,"Role: Grant writer for pharmaceutical nonprofit.

Task: Write compelling grant proposal for pharmaceutical initiative funding.

Instructions:
1. Executive summary
2. Statement of need
3. Project description and goals
4. Budget justification

Constraints:
- Funder-specific format
- Measurable outcomes
- Sustainability plan

Output Format: PDF proposal with supporting attachments.

Company: Synergy Works
Audience: partners
Ref: 4047-PHA",high,98,A,0.14,4,4,5,4,Strong constraints provided | Lacks success criteria | Reference materials cited | Ambiguous target audience
100003,presentation,"Task: presentation for research project

Requirements:
- Cover basics
- Include visuals
- Make it engaging

Deadline is next week.

Company: Global Solutions
Product: e-commerce engine
Ref: 5314-RES",medium,72,C,0.35,3,3,2,4,Well-structured sections | Measurable outcomes stated | Professional tone maintained | Actionable instructions
100004,data_analysis,"Create data_analysis content for retail use case. Structure: problem, solution, results. Make it persuasive.

Audience: developers
Timeline: FY2024
Ref: 6882-RET",medium,71,C,0.43,3,3,4,3,Actionable instructions | Feedback mechanism included | Professional tone maintained | Strong constraints provided
100005,post,"post on banking topic

Timeline: weekly
Ref: 4364-BAN",low,56,F,0.91,2,1,2,1,No quality standards | Version control noted | Missing budget context | No deadline specified
100006,presentation,"Role: Sales engineer creating sports product demos.

Task: Build interactive product presentation for sports clients.

Instructions:
1. Company overview (2 slides)
2. Product features with screenshots
3. ROI calculator section
4. Implementation timeline

Constraints:
- Customizable for different clients
- Professional color scheme
- Embedded video demos

Output Format: PowerPoint with embedded media and Excel calculator.

Ref: 4291-SPO",high,93,A,0.73,5,4,4,4,No risk assessment | Dependencies outlined
100007,post,"Role: Blog writer for marketing publication.

Task: Write 5 in-depth blog posts (1500 words each) on marketing topics.

Instructions:
1. SEO-optimized headlines
2. Original research or insights
3. Expert quotes and citations
4. Clear CTAs

Constraints:
- Keyword integration
- Readable formatting (H2, H3, bullets)
- Meta descriptions

Output Format: Word documents with HTML formatting.

Company: Nexus Group
Ref: 6500-MAR",high,85,B,0.22,5,5,5,5,Clear role definition | Inconsistent terminology | No accessibility considerations | No escalation path
100008,email,"email on banking topic

Ref: 5631-BAN",low,27,F,0.12,3,1,2,1,Technical requirements clear | No fallback options | No deadline specified
100009,image,"Create image content for transportation use case. Structure: problem, solution, results. Make it persuasive.

Product: telecommunications tool
Ref: 7865-TRA",medium,78,C,0.43,2,3,4,3,No risk assessment | Detailed methodology included | Well-structured sections
100010,report,"hospitality report please

Ref: 8358-HOS",low,38,F,0.27,2,2,2,2,Strong constraints provided | Lacks success criteria | Ambiguous target audience
